,neighborhood,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,maid_room,concierge,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,shared_pool,cluster
1649,Business Bay,2437000,1696,1436.91,3,3,False,False,False,False,False,True,False,True,1
1650,Business Bay,2439000,1686,1446.62,3,3,False,False,False,False,False,True,False,True,1
1651,Business Bay,2448000,1696,1443.4,3,3,False,False,False,False,False,True,False,True,1
1652,Business Bay,2312000,1046,2210.33,1,2,False,True,False,False,False,False,False,True,2
1653,Business Bay,1644000,991,1658.93,2,2,False,False,False,False,False,False,False,True,1
1654,Dubai Marina,3863000,1923,2008.84,3,4,False,True,False,False,False,True,False,True,0
1655,Dubai Marina,3890000,1939,2006.19,3,4,False,True,False,False,False,True,False,True,0
1656,Business Bay,1915000,2000,957.5,3,4,True,True,True,False,False,False,False,True,1
1657,The Views,1340000,1400,957.14,2,2,False,False,True,False,False,False,False,True,1
1658,Business Bay,560000,491,1140.53,0,1,False,True,False,False,False,False,False,True,2
1659,Jumeirah Village Circle,999000,1574,634.69,2,3,False,False,False,False,False,False,False,True,1
1660,Jumeirah Village Circle,1300000,1481,877.79,2,4,False,False,False,False,False,False,False,True,1
1661,Dubai Marina,2750000,1657,1659.63,3,4,False,True,False,False,False,False,False,True,0
1662,Dubai Harbour,2160888,1171,1845.34,2,3,False,False,False,False,False,False,False,False,1
1663,The Hills,4278888,3607,1186.27,3,3,True,True,False,False,False,False,False,True,0
1664,Al Furjan,950000,1556,610.54,3,4,False,False,True,False,False,False,False,True,1
1665,Jumeirah Beach Residence,3900000,2170,1797.24,3,3,True,True,True,False,False,False,False,False,0
1666,Greens,620000,764,811.52,1,1,False,False,True,False,False,False,False,True,2
1667,Meydan,700000,676,1035.5,1,2,False,True,True,False,False,True,False,True,2
1668,Downtown Dubai,1200000,831,1444.04,1,2,False,False,True,False,False,False,False,True,2
1669,Jumeirah Lake Towers,810000,889,911.14,2,2,False,False,False,False,False,False,False,True,2
1670,Downtown Dubai,1100000,744,1478.49,1,2,False,False,False,False,False,False,False,False,2
1671,The Hills,3762888,2191,1717.43,3,3,True,True,False,False,False,False,False,True,0
1672,Downtown Dubai,2299000,1445,1591.0,2,3,False,False,False,False,False,False,False,True,1
1673,Palm Jumeirah,1800000,1158,1554.4,1,2,False,False,False,False,False,True,False,True,2
1674,Motor City,1000000,1642,609.01,2,3,False,False,True,False,False,False,False,True,1
1675,Jumeirah Village Circle,489100,560,873.39,0,1,False,False,False,False,False,False,False,True,2
1676,Jumeirah Village Circle,480000,514,933.85,0,1,False,False,False,False,False,False,False,True,2
1677,Business Bay,850000,410,2073.17,0,1,False,True,False,False,False,False,False,True,2
1678,DAMAC Hills,330000,294,1122.45,0,1,False,False,False,False,False,False,False,True,2
1679,Dubai Marina,650000,693,937.95,1,2,False,False,False,False,False,False,False,True,2
1680,Jumeirah Village Circle,680000,770,883.12,1,2,False,False,True,False,False,False,False,True,2
1681,Jumeirah Beach Residence,5170000,1959,2639.1,4,4,False,False,True,False,False,False,False,True,0
1682,Jumeirah Village Circle,595000,743,800.81,1,2,True,False,False,False,False,False,False,True,2
1683,Downtown Dubai,1500000,985,1522.84,1,2,False,False,False,False,False,False,False,True,2
1684,Downtown Dubai,3950000,2010,1965.17,3,3,False,True,False,False,False,False,False,True,0
1685,Greens,1780000,2050,868.29,3,3,False,False,False,False,False,False,False,False,1
1686,Jumeirah Village Triangle,1550000,1566,989.78,2,2,False,False,False,False,False,False,False,False,1
1687,Dubai Marina,935000,609,1535.3,1,2,False,False,False,False,False,False,False,True,2
1688,Downtown Dubai,4362888,1192,3660.14,2,3,False,False,False,False,True,False,False,False,0
1689,Downtown Dubai,19498888,5253,3711.95,4,5,False,False,False,False,False,False,False,False,0
1690,Jumeirah Village Circle,420000,887,473.51,1,2,False,False,False,False,False,False,False,False,2
