,neighborhood,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,maid_room,concierge,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,shared_pool
405,Dubai Hills Estate,1450000,1487,975.12,2,3,False,False,False,False,False,False,False,False
406,Mohammed Bin Rashid City,1276686,760,1679.85,1,2,False,True,False,False,False,False,False,True
407,Al Kifaf,1550000,990,1565.66,1,2,False,False,True,False,False,False,False,True
408,Al Kifaf,2046777,1634,1252.62,2,3,False,False,False,False,False,False,False,True
409,City Walk,3700000,2270,1629.96,3,4,False,False,False,False,False,False,False,True
410,Palm Jumeirah,2800000,2156,1298.7,3,4,False,False,False,False,False,False,False,False
411,Downtown Dubai,2999900,1778,1687.23,2,3,False,False,False,False,False,False,False,False
412,Dubai Marina,2650000,1786,1483.76,3,4,False,False,False,False,False,False,False,False
413,Palm Jumeirah,3500000,1766,1981.88,2,3,False,True,False,False,False,True,False,True
414,DIFC,1300000,1133,1147.4,1,2,False,False,False,False,False,False,False,False
415,Jumeirah Beach Residence,2950000,1503,1962.74,2,3,False,True,False,False,False,False,False,True
416,Jumeirah Beach Residence,1780000,1028,1731.52,1,2,False,True,False,False,False,False,False,True
417,Meydan,675000,826,817.19,1,1,False,False,False,False,False,False,False,False
418,DIFC,1450000,1274,1138.15,1,2,False,True,True,False,False,False,False,True
419,Downtown Dubai,1010000,860,1174.42,1,2,False,True,False,False,False,False,False,True
420,Jumeirah Beach Residence,5750000,2574,2233.88,3,5,True,True,False,False,False,False,False,True
421,DIFC,1250000,1133,1103.27,1,2,False,False,False,False,False,False,False,True
422,Downtown Dubai,4649900,2663,1746.11,3,4,True,True,False,False,False,True,False,True
423,Dubai Marina,1250000,1210,1033.06,2,3,False,True,False,False,False,False,False,True
424,Downtown Dubai,2049999,1039,1973.05,2,3,False,True,False,False,False,False,False,True
425,Town Square,888000,888,1000.0,2,2,False,False,False,False,False,True,False,True
426,Business Bay,16950000,4907,3454.25,3,3,False,False,False,False,False,False,False,True
427,Business Bay,30950000,7922,3906.84,4,4,False,False,False,False,False,False,False,True
428,Dubai Harbour,1225000,735,1666.67,1,2,False,True,False,False,False,False,False,True
429,Downtown Dubai,2577888,1352,1906.72,3,4,False,False,False,False,False,False,False,False
430,Palm Jumeirah,1025888,720,1424.84,1,2,False,False,False,False,False,False,False,True
431,Dubai Marina,913548,529,1726.93,0,1,False,False,False,False,False,False,False,True
432,Downtown Dubai,2250000,1700,1323.53,2,3,False,True,False,False,False,False,False,True
433,DIFC,1275000,893,1427.77,1,1,False,True,True,False,False,True,False,True
434,DAMAC Hills,350000,527,664.14,0,1,False,False,False,False,False,False,False,True
435,Dubai Creek Harbour (The Lagoons),780000,707,1103.25,1,1,False,False,False,False,False,False,False,False
436,Downtown Dubai,1650000,1049,1572.93,2,3,False,False,False,False,False,False,False,False
437,Jumeirah Village Circle,424340,385,1102.18,0,1,False,False,True,False,False,False,False,True
438,Palm Jumeirah,1800000,1100,1636.36,1,2,False,False,False,False,False,False,False,True
439,Palm Jumeirah,3175000,2281,1391.93,3,4,False,True,False,False,False,False,False,True
440,Dubai Marina,1500000,1525,983.61,2,3,False,False,True,False,False,False,False,True
441,Palm Jumeirah,1850000,935,1978.61,1,2,False,False,False,False,False,False,False,True
442,Dubai Hills Estate,990000,722,1371.19,1,1,False,False,False,False,False,False,False,True
443,Dubai Hills Estate,750000,648,1157.41,1,1,False,False,False,False,False,False,False,True
444,Business Bay,900000,1036,868.73,1,1,False,True,True,False,False,False,False,True
445,Jumeirah,1700000,1164,1460.48,2,3,False,False,False,False,False,False,False,True
446,Jumeirah,1271000,732,1736.34,1,2,False,False,False,False,False,False,False,True
447,Town Square,485000,603,804.31,1,1,False,False,False,False,False,False,False,True
448,Palm Jumeirah,1125000,1300,865.38,1,1,False,False,False,False,False,False,False,False
449,Downtown Dubai,1000000,681,1468.43,1,2,False,False,False,False,False,False,False,False
450,Business Bay,700000,563,1243.34,0,1,False,False,False,False,False,False,False,False
451,Business Bay,725000,692,1047.69,0,1,False,False,False,False,False,False,False,False
452,Palm Jumeirah,1300000,1799,722.62,2,3,False,False,False,False,False,False,False,False
453,Al Barsha,778000,730,1065.75,1,2,False,False,True,False,False,False,False,True
454,Dubai Marina,2099999,1382,1519.54,2,3,False,False,False,False,False,False,False,False
455,Palm Jumeirah,17910000,6246,2867.44,4,5,False,True,False,False,False,False,True,False
456,Palm Jumeirah,15460000,4331,3569.61,3,4,False,True,False,False,False,False,True,False
457,Al Furjan,700000,1000,700.0,2,3,False,False,True,False,False,False,False,True
458,Jumeirah Lake Towers,450000,500,900.0,0,1,False,False,False,False,False,False,False,False
459,Downtown Dubai,1275000,1282,994.54,2,3,False,False,False,False,False,False,False,True
460,Palm Jumeirah,15490000,3944,3927.48,3,4,False,True,False,False,False,False,True,False
461,Palm Jumeirah,15830000,3554,4454.14,3,4,False,True,False,False,False,False,True,False
462,Palm Jumeirah,15910000,3492,4556.13,4,5,False,True,False,False,False,False,True,False
463,Palm Jumeirah,21990000,6252,3517.27,4,5,False,True,False,False,False,False,True,False
464,Palm Jumeirah,21870000,5188,4215.5,4,5,False,True,False,False,False,False,True,False
465,Palm Jumeirah,22640000,5505,4112.62,4,5,False,True,False,False,False,False,True,False
466,Mohammed Bin Rashid City,1246305,780,1597.83,1,2,True,True,True,False,False,False,False,True
467,Mohammed Bin Rashid City,2085804,1109,1880.8,2,3,True,True,True,False,False,False,False,True
468,Mohammed Bin Rashid City,1246305,780,1597.83,1,2,False,True,False,False,False,False,False,True
469,Dubai Hills Estate,1400000,1358,1030.93,2,2,False,False,False,False,False,False,False,True
470,Palm Jumeirah,2850000,1350,2111.11,2,2,False,False,False,False,False,False,False,False
471,Palm Jumeirah,1100000,1144,961.54,1,1,False,False,False,False,False,False,False,False
472,Palm Jumeirah,3800000,4053,937.58,3,3,False,False,False,False,False,False,False,False
473,Business Bay,1100000,952,1155.46,1,2,False,True,True,False,False,True,False,True
474,Greens,650000,767,847.46,1,1,False,False,False,False,False,False,False,True
475,Palm Jumeirah,17130000,4595,3727.97,3,4,False,True,False,False,False,False,True,False
476,Palm Jumeirah,22260000,4923,4521.63,4,5,False,True,False,False,False,False,True,False
477,Business Bay,490000,563,870.34,0,1,False,False,False,False,False,False,False,False
478,Dubai Hills Estate,2800000,1993,1404.92,3,4,False,False,True,False,False,False,False,True
479,Jumeirah Village Circle,450000,1105,407.24,1,2,False,False,False,False,False,False,False,True
480,Town Square,1400000,1450,965.52,3,3,False,False,False,False,False,False,False,True
481,Jumeirah Lake Towers,1700000,1992,853.41,2,2,False,True,False,False,False,False,False,True
482,Palm Jumeirah,3000000,2279,1316.37,3,4,False,False,False,False,False,False,False,True
483,Town Square,1125888,1850,608.59,3,4,False,True,False,False,False,False,False,True
484,Jumeirah Beach Residence,1150000,1396,823.78,2,3,False,True,True,False,False,False,False,False
485,Dubai Marina,1499000,1721,871.01,3,3,False,False,True,False,False,False,False,True
486,Al Sufouh,990000,722,1371.19,1,2,False,True,False,False,False,False,False,True
487,Jumeirah Lake Towers,1400000,1680,833.33,2,4,False,False,False,False,False,False,False,False
488,Town Square,590888,546,1082.21,1,2,False,True,False,False,False,False,False,True
489,Dubai Hills Estate,749888,482,1555.78,1,2,False,True,False,False,False,False,False,True
490,Mohammed Bin Rashid City,796195,493,1615.0,1,1,False,False,False,False,False,False,False,True
491,Meydan,700000,835,838.32,1,2,False,False,True,False,False,False,False,True
492,Palm Jumeirah,1055000,1173,899.4,1,1,False,False,False,False,False,False,False,False
493,Town Square,1100000,1462,752.39,3,3,False,False,False,False,False,False,False,True
494,Downtown Dubai,3600000,2583,1393.73,3,4,False,True,False,False,False,False,False,True
495,Dubai Marina,1575000,1150,1369.57,2,3,False,False,False,False,False,False,False,True
496,Greens,2000000,1693,1181.33,2,3,False,False,False,False,False,False,False,False
497,Dubai Hills Estate,900000,1000,900.0,1,2,False,False,True,False,False,False,False,True
498,Dubai Marina,2099999,1381,1520.64,2,3,False,True,False,False,False,False,False,True
499,Al Furjan,420000,442,950.23,0,1,False,False,False,False,True,False,True,True
500,Business Bay,849999,685,1240.87,1,2,False,True,False,False,False,False,False,True
501,Downtown Dubai,4900000,2157,2271.67,3,4,False,False,False,False,False,False,False,True
502,Greens,750000,758,989.45,1,1,False,False,False,False,False,False,False,True
503,Palm Jumeirah,1900000,2223,854.7,3,4,False,True,False,False,False,False,False,False
504,Meydan,1400000,1534,912.65,2,3,False,False,False,False,False,False,False,False
505,Jumeirah,1780000,1200,1483.33,2,2,True,False,True,False,False,False,False,True
506,Palm Jumeirah,1754888,1131,1551.63,2,3,False,False,True,False,False,False,False,True
507,Downtown Dubai,2350000,1858,1264.8,2,3,False,False,False,False,False,False,False,False
508,Palm Jumeirah,2350000,2524,931.06,3,4,True,False,False,False,False,False,False,True
509,Dubai Marina,1100000,1005,1094.53,1,2,False,True,False,False,False,False,False,True
510,Old Town,1095000,781,1402.05,1,1,False,False,False,False,False,False,False,False
511,Town Square,525000,697,753.23,1,1,False,False,False,False,False,False,False,True
512,Jumeirah,1290000,831,1552.35,1,2,False,False,False,False,False,False,False,False
513,Town Square,500000,589,848.9,1,1,False,False,False,False,False,False,False,True
514,Dubai Marina,990000,1500,660.0,2,3,False,False,False,False,False,False,False,True
515,Downtown Dubai,1025000,740,1385.14,1,2,False,False,True,False,False,False,False,True
516,Dubai Hills Estate,761888,486,1567.67,1,2,False,True,False,False,False,False,False,True
517,Downtown Dubai,18614888,5383,3458.09,4,5,False,True,False,False,False,False,False,True
518,Downtown Dubai,1430000,723,1977.87,1,2,False,False,False,False,False,False,False,False
519,The Views,1550000,1418,1093.09,2,2,False,False,False,False,False,False,False,False
520,Downtown Dubai,2750000,1236,2224.92,2,3,False,True,False,False,False,False,False,False
521,Downtown Dubai,1150000,713,1612.9,1,1,False,False,False,False,False,False,False,True
522,Palm Jumeirah,1150000,1184,971.28,1,1,False,False,False,False,False,False,False,False
523,Palm Jumeirah,2000000,2164,924.21,2,3,False,True,False,False,False,False,False,True
524,Dubai Hills Estate,1290000,1362,947.14,2,3,False,False,True,False,False,False,False,True
525,Downtown Dubai,1700000,934,1820.13,2,3,False,False,False,False,False,False,False,True
526,Dubai Marina,2349000,2979,788.52,3,4,True,True,False,False,False,False,False,True
527,Business Bay,1976504,1165,1696.57,1,2,False,True,True,False,False,True,True,False
528,Downtown Dubai,1900000,1538,1235.37,2,3,False,False,True,False,False,False,False,True
529,Business Bay,610000,477,1278.83,0,1,False,False,False,False,False,False,False,True
530,Palm Jumeirah,1900000,1890,1005.29,2,2,False,False,False,False,False,False,False,False
531,Palm Jumeirah,1100000,1101,999.09,1,2,False,False,True,False,False,True,False,True
532,Dubai Sports City,429000,460,932.61,0,2,False,False,False,False,False,False,False,False
533,The Views,1300000,1342,968.7,2,2,False,False,False,False,False,False,False,False
534,Dubai Marina,1460000,868,1682.03,1,2,False,True,True,False,False,False,False,True
535,Palm Jumeirah,3450000,2260,1526.55,3,3,False,False,False,False,False,False,False,False
536,The Views,1999999,1660,1204.82,3,4,True,True,True,True,False,False,False,True
537,Dubai Marina,1650000,1860,887.1,1,2,False,True,True,True,False,False,False,True
538,Jumeirah,7000000,1934,3619.44,2,2,False,False,False,False,False,False,False,True
539,Jumeirah Lake Towers,820000,640,1281.25,1,1,False,False,False,False,False,False,False,True
540,Downtown Dubai,1525000,1740,876.44,2,2,False,False,False,False,False,False,False,False
541,Dubai Hills Estate,1299999,1361,955.18,2,3,False,True,False,False,False,False,False,True
542,The Views,950000,863,1100.81,1,1,False,False,False,False,False,False,False,False
543,Palm Jumeirah,1850000,1070,1728.97,1,2,False,False,False,False,False,False,False,True
544,Jumeirah,7600000,2093,3631.15,2,4,False,False,False,False,False,False,False,True
545,DIFC,1500000,968,1549.59,1,2,False,False,False,False,False,False,False,False
546,Palm Jumeirah,1850000,2055,900.24,2,4,True,True,True,False,False,False,False,True
547,DIFC,3250000,2087,1557.26,2,3,False,False,False,False,False,False,False,True
548,Jumeirah Village Circle,670000,910,736.26,1,2,False,True,False,False,False,False,False,False
549,Dubai Marina,850000,760,1118.42,2,2,False,False,False,False,False,False,False,True
550,Dubai Festival City,3250000,4071,798.33,3,4,False,False,True,False,False,False,False,True
551,Old Town,1500000,1313,1142.42,2,3,False,False,True,False,False,False,False,True
552,Palm Jumeirah,1950000,1040,1875.0,1,2,False,False,False,False,False,False,False,True
553,Jumeirah Beach Residence,2300000,1704,1349.77,2,3,True,False,False,False,False,False,False,True
554,Palm Jumeirah,2500000,2177,1148.37,3,3,False,False,False,False,False,False,False,False
555,Dubai Marina,1400000,1206,1160.86,2,3,False,False,True,False,False,False,False,True
556,Jumeirah Village Circle,1150000,1778,646.79,2,2,False,False,False,False,False,False,False,False
557,Dubai Marina,1300000,950,1368.42,1,2,False,False,False,False,False,False,False,True
558,Jumeirah Village Circle,545000,680,801.47,1,2,False,False,True,False,False,False,False,True
559,Dubai Marina,1400000,1302,1075.27,2,3,False,False,False,False,False,False,False,True
560,Dubai Marina,2200000,1748,1258.58,3,3,False,False,True,False,False,False,False,True
561,DIFC,1300000,938,1385.93,1,2,False,False,False,False,False,False,False,True
562,Dubai Marina,800000,908,881.06,1,2,False,True,False,False,False,False,False,True
563,The Views,850000,733,1159.62,1,1,False,False,False,False,False,False,False,True
564,Dubai Marina,1540000,772,1994.82,1,2,False,False,False,False,False,True,False,True
565,Jebel Ali,550000,970,567.01,2,3,False,False,False,False,False,False,True,True
566,DIFC,2600000,2119,1226.99,3,4,False,False,False,False,False,False,False,True
567,Dubai Marina,700000,915,765.03,1,2,False,False,False,False,False,False,False,True
568,Downtown Dubai,1100000,855,1286.55,1,2,False,True,True,False,False,True,False,True
569,Jumeirah Lake Towers,699999,929,753.5,1,2,False,False,True,False,False,True,False,True
570,Dubai Marina,1900000,975,1948.72,1,2,False,True,True,False,False,False,False,True
571,Greens,900000,1093,823.42,2,2,False,True,False,False,False,False,False,True
572,Dubai Creek Harbour (The Lagoons),2949999,2309,1277.61,3,5,True,True,False,False,False,False,False,True
573,Jumeirah Beach Residence,980000,1080,907.41,1,2,False,False,False,False,False,False,False,True
574,Jumeirah Village Circle,350000,437,800.92,0,1,False,False,True,False,False,False,False,True
575,Palm Jumeirah,2500000,2439,1025.01,3,3,False,True,True,False,False,False,False,True
576,Palm Jumeirah,34314000,9576,3583.33,4,5,False,True,False,False,False,False,True,False
577,Downtown Dubai,3050000,1851,1647.76,3,3,False,False,True,False,False,False,False,True
578,Downtown Dubai,1650000,1105,1493.21,2,2,False,False,True,False,False,False,False,True
579,The Views,850000,748,1136.36,1,2,False,False,True,False,False,False,False,True
580,Al Barari,3350000,3017,1110.37,2,3,False,False,True,False,False,False,False,True
581,Dubai Hills Estate,1749510,1602,1092.08,3,4,True,False,False,False,False,False,False,True
582,Downtown Dubai,1100000,965,1139.9,1,2,False,False,False,True,False,True,False,False
583,Dubai Marina,1950000,1347,1447.66,2,3,False,False,False,False,False,True,False,True
584,Jumeirah Beach Residence,815000,779,1046.21,1,2,False,True,True,False,False,False,False,True
585,The Views,849000,754,1125.99,1,1,False,False,True,False,False,False,False,True
586,Palm Jumeirah,2120000,1465,1447.1,2,3,False,False,False,False,False,False,False,True
587,Downtown Dubai,1750000,1400,1250.0,2,2,False,False,False,False,False,False,False,False
588,Dubai Hills Estate,808255,648,1247.31,1,1,False,False,False,False,False,False,False,True
589,Jumeirah Beach Residence,2300000,1703,1350.56,2,2,False,False,False,False,False,False,False,False
590,Jumeirah Lake Towers,1675000,2326,720.12,4,4,True,True,False,False,False,False,False,True
591,Jumeirah Lake Towers,1373000,1909,719.22,3,3,False,True,False,False,False,False,False,True
592,Jumeirah,1980000,1703,1162.65,2,3,False,False,False,False,False,False,True,False
593,Palm Jumeirah,2200000,1709,1287.3,2,3,False,False,False,False,False,False,False,True
594,Dubai Marina,1850000,1347,1373.42,2,3,False,True,True,False,False,False,False,True
595,Jumeirah Beach Residence,1500000,1903,788.23,3,3,True,False,True,False,False,False,False,True
596,Al Furjan,1055093,1191,885.89,2,3,False,False,True,False,False,False,False,True
597,Al Furjan,568801,750,758.4,1,2,False,False,True,False,False,False,False,True
598,Dubai Hills Estate,2650000,2127,1245.89,3,5,True,False,False,False,False,False,False,True
599,Falcon City of Wonders,540000,356,1516.85,0,1,False,True,False,False,False,False,False,True
600,Mohammed Bin Rashid City,1253686,747,1678.29,2,2,False,False,False,False,False,False,False,True
601,Palm Jumeirah,4400000,2005,2194.51,3,2,False,False,False,False,False,False,False,False
602,Downtown Dubai,1000000,833,1200.48,1,2,False,False,True,False,False,False,False,True
603,DAMAC Hills,550000,635,866.14,0,1,True,False,True,False,False,False,False,False
604,Motor City,675000,1053,641.03,1,2,False,False,False,False,False,False,False,False
605,Jumeirah Beach Residence,1050000,761,1379.76,1,2,False,False,True,False,False,False,False,False
606,Dubai Land,380000,929,409.04,1,2,False,False,True,False,False,False,False,False
607,DIFC,1225000,877,1396.81,1,2,False,False,True,False,False,False,False,True
608,Jumeirah Beach Residence,1720000,1929,891.65,3,4,False,True,True,False,False,False,False,True
609,Downtown Dubai,1700000,1265,1343.87,2,2,False,False,False,False,False,False,False,False
610,Palm Jumeirah,1230000,1116,1102.15,1,2,False,True,True,False,False,False,False,True
611,Al Furjan,739000,928,796.34,2,2,False,True,True,False,False,True,False,True
612,World Trade Center,2800000,2938,953.03,3,3,True,False,False,False,False,False,False,True
613,Dubai Marina,1350000,1741,775.42,2,3,False,True,False,False,False,False,False,True
614,Jumeirah Lake Towers,850000,1184,717.91,1,2,False,False,False,False,False,False,False,False
615,Jumeirah Beach Residence,2300000,1610,1428.57,2,3,False,False,False,False,False,False,False,False
616,Downtown Dubai,1445888,666,2171.0,1,2,False,False,False,False,False,False,False,True
617,Mudon,1286000,986,1304.26,2,2,False,False,True,False,False,False,False,True
618,Dubai Marina,999950,922,1084.54,1,2,False,False,False,False,False,False,False,False
619,Discovery Gardens,320000,548,583.94,0,1,False,False,True,False,False,False,False,True
620,Jumeirah Beach Residence,1849000,3003,615.72,3,3,False,True,False,False,False,False,False,True
621,Dubai Marina,1450000,848,1709.91,1,1,False,False,False,False,False,False,False,False
622,Motor City,790000,1358,581.74,2,3,False,False,True,False,False,False,False,True
623,Dubai Silicon Oasis,500000,943,530.22,2,2,False,False,True,False,False,False,False,True
624,Jumeirah Village Circle,830000,871,952.93,1,2,False,False,False,False,False,False,False,True
625,Dubai Marina,1640000,1693,968.69,2,3,False,False,True,False,False,False,False,True
626,Remraam,475000,1157,410.54,1,1,False,False,False,True,False,False,True,False
627,Dubai Marina,3200000,1822,1756.31,3,5,False,False,False,False,False,False,False,False
628,Jumeirah Village Circle,699000,782,893.86,1,2,False,False,False,True,False,False,True,True
629,Jumeirah Village Circle,610000,746,817.69,1,2,True,True,False,False,False,False,False,True
630,Jumeirah Village Circle,610500,851,717.39,1,2,True,True,False,False,False,False,False,True
631,Jumeirah Village Circle,600205,805,745.6,1,2,True,True,False,False,False,False,False,True
632,Jumeirah Village Circle,610500,814,750.0,1,2,True,True,True,False,False,False,False,True
633,Palm Jumeirah,1700000,1997,851.28,2,2,True,False,False,False,False,False,False,True
634,Jumeirah Village Circle,610503,815,749.08,1,2,True,True,True,False,False,False,False,True
635,Jumeirah Beach Residence,1275000,1381,923.24,2,2,False,False,False,False,False,False,False,True
636,Palm Jumeirah,1295000,737,1757.12,1,2,False,False,True,False,False,True,False,True
637,Dubai Marina,3300000,2756,1197.39,3,5,False,False,False,False,False,False,False,False
638,Downtown Dubai,1300000,1092,1190.48,1,2,False,False,False,False,False,False,False,False
639,Jumeirah Village Circle,900502,1137,792.0,2,3,True,True,True,False,False,False,False,True
640,Jumeirah Village Circle,901345,1147,785.83,2,3,True,True,True,False,False,False,False,True
641,Discovery Gardens,525000,968,542.36,1,1,False,False,False,False,False,False,False,True
642,Downtown Dubai,3489900,1888,1848.46,2,3,False,True,False,False,False,True,False,False
643,Dubai Marina,760000,709,1071.93,1,1,False,False,True,False,False,False,False,True
644,Dubai Marina,700000,736,951.09,1,2,False,True,True,False,False,False,False,True
645,Palm Jumeirah,1675000,1746,959.34,2,2,True,False,True,False,False,False,False,False
646,Dubai Marina,625000,916,682.31,1,2,False,True,False,False,False,False,False,True
647,Palm Jumeirah,1390000,1954,711.36,2,3,False,True,False,False,False,False,False,True
648,Palm Jumeirah,1700000,1142,1488.62,1,1,False,False,False,False,False,False,False,False
649,Downtown Dubai,1400000,886,1580.14,1,1,False,False,True,False,False,False,False,True
650,Dubai Marina,3600000,3172,1134.93,4,5,True,True,True,False,False,False,False,True
651,Jumeirah,1434000,758,1891.82,1,2,False,False,False,False,False,False,False,True
652,Dubai Harbour,1200000,745,1610.74,1,2,False,True,False,False,False,False,False,False
653,Jumeirah,1795000,1220,1471.31,2,3,False,True,False,False,False,False,False,True
654,Downtown Dubai,2444888,1064,2297.83,2,3,False,False,False,False,False,False,False,True
655,Jumeirah Beach Residence,2650000,1198,2212.02,2,3,False,False,False,False,False,False,False,False
656,Jumeirah Beach Residence,3750000,1968,1905.49,3,5,False,False,False,False,False,False,False,False
657,Jumeirah Beach Residence,2399999,1180,2033.9,2,3,False,False,False,False,False,False,False,False
658,Dubai Marina,1700000,1302,1305.68,2,3,False,False,False,False,False,False,False,False
659,Dubai Marina,1550000,1188,1304.71,2,3,False,False,False,False,False,False,False,True
660,Downtown Dubai,1775000,1420,1250.0,2,2,False,False,False,False,False,False,False,True
661,Dubai Marina,2450000,2552,960.03,3,5,True,True,False,False,False,False,False,True
662,Jumeirah,12000000,3142,3819.22,3,5,False,False,False,False,False,False,False,True
663,Palm Jumeirah,624888,360,1735.8,0,1,False,True,False,False,False,True,False,True
664,Dubai Marina,560000,691,810.42,1,2,False,False,True,False,False,False,False,True
665,Palm Jumeirah,992888,713,1392.55,1,2,False,True,False,False,False,True,False,True
666,Jumeirah,1234000,754,1636.6,1,2,False,False,False,False,False,False,False,True
667,Dubai Creek Harbour (The Lagoons),1300000,1089,1193.76,2,3,False,True,False,False,False,False,False,True
668,Mudon,1150000,965,1191.71,2,3,False,False,False,False,False,False,False,False
669,The Views,1400000,1450,965.52,2,2,False,True,True,False,False,True,False,True
670,The Views,1690000,1305,1295.02,2,3,False,False,True,False,False,False,False,True
671,Jumeirah Village Circle,1050000,1620,648.15,1,1,False,True,True,False,False,True,False,False
672,The Views,1500000,1665,900.9,3,2,False,True,True,True,False,False,False,True
673,Mirdif,2892000,2704,1069.53,4,5,True,False,True,False,False,False,False,True
674,Mirdif,1688000,1581,1067.68,3,4,True,False,True,False,False,False,False,True
675,Mirdif,1399000,1321,1059.05,2,3,True,False,False,False,False,False,False,True
676,Downtown Dubai,3750000,1362,2753.3,2,3,False,False,False,False,False,False,False,True
677,Dubai Marina,1574950,755,2086.03,1,2,False,True,False,False,False,False,False,True
678,Jumeirah Village Circle,412000,375,1098.67,0,1,True,False,True,True,True,True,True,True
679,Jumeirah Village Circle,999000,1249,799.84,2,3,True,False,True,True,True,True,True,True
680,Palm Jumeirah,2445000,1550,1577.42,2,3,True,True,False,False,False,False,False,True
681,Jumeirah,1700000,1200,1416.67,2,3,False,False,False,False,False,False,False,True
682,Downtown Dubai,4294888,1636,2625.24,3,4,False,True,False,False,False,False,False,True
683,Dubai Marina,2975000,1694,1756.2,2,2,False,True,False,False,False,False,False,True
684,Palm Jumeirah,2600000,1994,1303.91,2,4,False,False,False,False,False,False,False,False
685,Palm Jumeirah,1450000,1100,1318.18,1,2,False,False,False,False,False,False,False,True
686,Jumeirah Village Circle,1400206,1215,1152.43,2,3,True,True,True,False,False,False,False,True
687,The Views,3299950,2825,1168.12,3,3,True,False,True,False,False,False,False,True
688,Palm Jumeirah,1395000,1953,714.29,2,2,False,False,False,False,False,False,False,False
689,Dubai Harbour,1380888,745,1853.54,1,1,False,True,False,False,False,False,False,True
690,Palm Jumeirah,1275000,1886,676.03,2,2,False,False,False,False,False,False,False,False
691,Downtown Dubai,1300000,917,1417.67,1,2,False,True,False,False,False,False,False,True
692,Jumeirah Village Circle,1350000,2045,660.15,3,4,True,True,True,False,False,False,False,True
693,Dubai Creek Harbour (The Lagoons),3000000,1932,1552.8,3,4,False,False,False,False,False,False,False,True
694,Dubai Marina,1490000,838,1778.04,1,2,False,True,True,False,False,False,False,True
695,Jumeirah Village Circle,612870,695,881.83,1,2,True,True,True,False,False,False,False,True
696,Palm Jumeirah,2250000,2182,1031.16,3,3,False,True,False,False,False,False,False,True
697,Jumeirah Beach Residence,1350000,1850,729.73,3,4,True,False,True,False,False,False,False,True
698,Dubai Marina,1575000,775,2032.26,1,2,False,False,False,False,False,False,False,False
699,Jumeirah Village Circle,639777,817,783.08,1,2,True,True,True,False,False,False,False,True
700,Jumeirah Village Circle,627777,750,837.04,1,2,True,True,True,False,False,False,False,True
701,Jumeirah Village Circle,620000,744,833.33,1,2,True,True,True,False,False,False,False,True
702,Jumeirah Village Circle,706000,767,920.47,1,2,True,False,True,False,False,False,False,True
703,Jumeirah Village Circle,993999,1163,854.69,2,3,True,False,True,False,False,False,False,True
704,Jumeirah Village Circle,670000,880,761.36,1,2,True,True,True,False,False,False,False,True
705,Jumeirah Village Circle,914000,1196,764.21,2,3,False,True,True,False,False,False,False,True
706,Jumeirah Village Circle,1113000,1465,759.73,2,3,False,True,True,False,False,False,False,True
707,Jumeirah Village Circle,1131000,1558,725.93,2,3,True,True,False,False,False,False,False,True
708,Jumeirah Village Circle,635000,692,917.63,1,2,True,True,True,False,False,False,False,True
709,Jumeirah Village Circle,941000,1316,715.05,2,3,True,True,True,False,False,False,False,True
710,Jumeirah Village Circle,1080000,1421,760.03,2,3,True,True,True,False,False,False,False,True
711,Dubai Harbour,4222888,1968,2145.78,3,4,False,True,False,False,False,False,False,False
712,Jumeirah,1737000,1213,1431.99,2,3,False,True,False,False,False,False,False,True
713,Jumeirah Beach Residence,1200000,1295,926.64,2,3,False,False,False,False,False,False,False,True
714,Dubai Marina,1450000,1329,1091.05,2,3,False,False,False,False,False,False,False,True
715,Dubai Creek Harbour (The Lagoons),3400000,1931,1760.75,3,4,False,False,False,False,False,False,False,False
716,Jumeirah Lake Towers,525000,675,777.78,1,1,False,False,True,False,False,False,False,True
717,Palm Jumeirah,1259999,1583,795.96,2,4,True,False,True,False,False,False,False,True
718,DAMAC Hills,425000,559,760.29,0,1,False,False,True,False,False,False,False,True
719,Dubai Marina,1550000,1207,1284.18,2,3,False,True,False,False,False,False,False,True
720,Dubai Marina,790000,1219,648.07,2,2,False,False,False,False,False,False,False,True
721,Barsha Heights (Tecom),1020000,1307,780.41,2,2,False,False,True,False,False,False,False,True
722,Jumeirah Village Circle,954505,1312,727.52,2,3,False,True,True,False,False,False,False,True
723,Downtown Dubai,999999,838,1193.32,1,2,False,False,False,False,False,False,False,False
724,Greens,1750000,2070,845.41,3,3,False,False,False,False,False,False,False,False
725,Downtown Dubai,1475000,782,1886.19,1,2,False,False,False,False,False,False,False,True
726,Jumeirah Beach Residence,3380000,1901,1778.01,3,4,False,False,False,False,False,False,False,False
727,Dubai Marina,1801000,800,2251.25,1,2,False,True,True,False,False,False,False,True
728,Jumeirah Village Circle,1270000,1538,825.75,3,4,True,True,True,False,False,False,False,True
729,Jumeirah Village Circle,635356,629,1010.1,1,2,True,True,True,False,False,False,False,True
730,Greens,1220000,1281,952.38,2,2,False,False,False,False,False,False,False,False
731,Dubai Marina,999905,1271,786.71,2,3,False,True,True,False,False,True,False,True
732,Dubai Hills Estate,1700000,1493,1138.65,2,2,False,False,False,False,False,False,False,False
733,Dubai Sports City,550000,860,639.53,1,2,False,False,True,False,False,True,False,True
